기준 일자,시도명,시군구명,행정동명,업종대분류코드,업종중분류코드,가공기업구분코드,법인구분명,기업상태코드,기업상태명,총기업수,등록 일자,작업자명
2019-11-29,서울,성북구,길음제1동,F,F42,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-11-26,서울,서대문구,홍제1동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-11-22,서울,동대문구,이문1동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-08-16,서울,광진구,자양2동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-10-13,서울,중랑구,중화1동,F,F41,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-11-18,서울,서초구,양재2동,F,F41,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-11-18,서울,영등포구,영등포동,F,F42,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-07-19,서울,종로구,이화동,F,F41,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2016-07-12,서울,송파구,석촌동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-10-25,서울,광진구,군자동,F,F42,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-10-25,서울,광진구,화양동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2016-06-08,서울,구로구,개봉제3동,F,F41,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2017-08-31,서울,종로구,숭인2동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-01-24,서울,서초구,양재2동,F,F42,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2015-11-09,서울,강남구,역삼1동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-08-04,서울,마포구,공덕동,F,F41,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-08-02,서울,송파구,방이2동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2017-05-17,서울,강남구,논현1동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2013-04-11,서울,서초구,서초2동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-07-30,서울,강남구,논현1동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2018-07-12,서울,관악구,조원동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2016-08-20,서울,서초구,양재2동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-05-20,서울,강동구,천호2동,F,F42,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-05-16,서울,광진구,구의1동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-05-16,서울,금천구,가산동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2012-03-19,서울,강남구,역삼1동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2011-08-24,서울,송파구,방이1동,F,F42,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2015-05-23,서울,구로구,고척1동,F,F41,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2014-04-17,서울,성동구,성수2가3동,F,F42,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-02-27,서울,송파구,문정1동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-11-01,서울,서초구,서초1동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-09-18,서울,강남구,세곡동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2015-08-02,서울,광진구,광장동,F,F41,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2015-08-01,서울,중랑구,망우3동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2015-06-27,서울,양천구,신월2동,F,F42,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2015-09-22,서울,중구,신당제5동,F,F42,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2015-11-26,서울,광진구,능동,F,F41,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2017-12-29,서울,영등포구,문래동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-01-14,서울,강남구,도곡1동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2014-06-16,서울,강남구,역삼1동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2014-11-24,서울,송파구,장지동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2011-07-11,서울,성동구,성수2가3동,F,F42,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-11-05,서울,강남구,개포4동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-11-05,서울,강동구,성내1동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-11-09,서울,서초구,방배4동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-11-09,서울,영등포구,여의동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-01-11,서울,강남구,대치2동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-01-10,서울,강동구,명일1동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-08-29,서울,서초구,방배4동,F,F41,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2015-11-03,서울,강동구,성내3동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2014-03-03,서울,서초구,서초4동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2011-01-14,서울,성북구,안암동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-06-25,서울,서초구,서초3동,F,F41,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-06-25,서울,송파구,장지동,F,F41,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-07-02,서울,동대문구,용신동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-07-04,서울,강동구,암사1동,F,F42,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-04-18,서울,강남구,논현2동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-04-17,서울,강남구,청담동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-04-17,서울,영등포구,여의동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-04-15,서울,광진구,구의3동,F,F42,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-02-20,서울,강남구,청담동,F,F42,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-11-10,서울,금천구,독산1동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-10-21,서울,성북구,정릉4동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-10-28,서울,성동구,성수2가3동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-11-03,서울,중랑구,면목본동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-11-03,서울,동대문구,용신동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2018-01-04,서울,성동구,[미분류],F,F42,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-02-02,서울,강남구,개포4동,F,F42,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-05-27,서울,동대문구,이문1동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-04-08,서울,영등포구,여의동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-01-01,서울,강남구,세곡동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-02-07,서울,양천구,신정7동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-04-26,서울,광진구,구의1동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-07-07,서울,강남구,역삼1동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-11-14,서울,도봉구,창3동,F,F41,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-04-23,서울,광진구,구의3동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2018-09-25,서울,영등포구,영등포동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2018-04-30,서울,강남구,세곡동,F,F41,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2018-04-30,서울,광진구,구의2동,F,F42,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2018-03-08,서울,마포구,합정동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2016-03-18,서울,동대문구,답십리1동,F,F42,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2017-12-06,서울,동작구,사당2동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-06-22,서울,동작구,대방동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-07-29,서울,강남구,개포2동,F,F42,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-07-29,서울,중랑구,상봉1동,F,F42,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-03-17,서울,금천구,가산동,F,F41,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-08-24,서울,영등포구,양평1동,F,F42,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2018-12-26,서울,송파구,마천2동,F,F42,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2017-12-19,서울,광진구,구의3동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-05-07,서울,광진구,자양1동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2018-04-10,서울,강서구,화곡2동,F,F41,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2018-04-05,서울,강남구,일원본동,F,F42,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2016-08-16,서울,영등포구,영등포동,F,F42,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2018-04-03,서울,광진구,구의3동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2018-04-04,서울,양천구,목3동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2017-04-11,서울,강남구,세곡동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2018-08-10,서울,서대문구,홍은1동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-09-11,서울,서초구,서초2동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-05-05,서울,도봉구,도봉1동,F,F42,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-05-03,서울,강동구,성내3동,F,F42,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-05-03,서울,도봉구,창2동,F,F41,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-04-02,서울,중구,명동,F,F41,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2018-08-23,서울,종로구,혜화동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2017-01-07,서울,성동구,성수2가3동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2017-10-31,서울,양천구,목1동,F,F42,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-07-24,서울,강남구,도곡2동,F,F41,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2017-02-05,서울,서초구,양재2동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2017-10-23,서울,강동구,둔촌2동,F,F42,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2017-01-02,서울,영등포구,당산2동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2017-10-03,서울,영등포구,양평2동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2017-01-01,서울,강서구,가양2동,F,F42,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2016-12-31,서울,종로구,청운효자동,F,F41,99,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2017-03-05,서울,금천구,시흥2동,F,F41,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2018-06-05,서울,강남구,논현2동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2017-07-29,서울,구로구,고척2동,F,F42,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-06-10,서울,서초구,양재1동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2019-06-09,서울,강동구,성내1동,F,F42,4,영리법인본점,1,휴업자,1,2019-12-13,KED_SYSTEM
2015-02-16,서울,은평구,증산동,F,F42,4,개인과세사업자,1,휴업자,1,2019-12-13,KED_SYSTEM
